"Rank","Team","Points","Games","Avg"
"1","New England Patriots","236.0","16","14.8"
"2","Pittsburgh Steelers","173.0","16","10.8"
"3","San Francisco 49ers","163.0","16","10.2"
"4","Baltimore Ravens","154.0","16","9.6"
"5","Los Angeles Rams","146.0","16","9.1"
"6","Minnesota Vikings","142.0","16","8.9"
"7","New York Jets","137.0","16","8.6"
"8","Kansas City Chiefs","136.0","16","8.5"
"9","New Orleans Saints","135.0","16","8.4"
"10","Tampa Bay Buccaneers","134.0","16","8.4"
"11","Tennessee Titans","131.0","16","8.2"
"12","Buffalo Bills","130.0","16","8.1"
"13","Seattle Seahawks","118.0","16","7.4"
"14","Indianapolis Colts","114.0","16","7.1"
"15","Philadelphia Eagles","109.0","16","6.8"
"16","Green Bay Packers","108.0","16","6.8"
"17","Dallas Cowboys","99.0","16","6.2"
"17","Denver Broncos","99.0","16","6.2"
"17","Jacksonville Jaguars","99.0","16","6.2"
"20","Chicago Bears","96.0","16","6.0"
"21","Carolina Panthers","91.0","16","5.7"
"22","Atlanta Falcons","90.0","16","5.6"
"22","Houston Texans","90.0","16","5.6"
"24","Cleveland Browns","87.0","16","5.4"
"25","Washington Football Team","86.0","16","5.4"
"26","New York Giants","83.0","16","5.2"
"27","Los Angeles Chargers","76.0","16","4.8"
"28","Las Vegas Raiders","70.0","16","4.4"
"29","Arizona Cardinals","68.0","16","4.3"
"30","Detroit Lions","66.0","16","4.1"
"31","Cincinnati Bengals","61.0","16","3.8"
"32","Miami Dolphins","44.0","16","2.8"
""
""