"Rank","Player","Team","Points","Games","Avg"
"1","Travis Kelce","KC","157.3","16","9.8"
"2","Mark Andrews","BAL","143.2","15","9.6"
"3","George Kittle","SF","137.5","14","9.8"
"4","Darren Waller","LV","131.0","16","8.2"
"5","Zach Ertz","PHI","127.6","15","8.5"
"6","Jared Cook","NO","124.5","14","8.9"
"7","Austin Hooper","CLE","116.7","13","9.0"
"8","Hunter Henry","LAC","95.2","12","7.9"
"9","Tyler Higbee","LAR","91.4","15","6.1"
"10","Dallas Goedert","PHI","86.7","15","5.8"
"11","Mike Gesicki","MIA","85.0","16","5.3"
"12","Jason Witten","LV","76.9","16","4.8"
"13","Darren Fells","HOU","76.1","16","4.8"
"14","Kyle Rudolph","MIN","74.7","16","4.7"
"15","Greg Olsen","SEA","71.7","14","5.1"
"16","Noah Fant","DEN","71.0","16","4.4"
"17","Jonnu Smith","TEN","69.7","16","4.4"
"18","Jack Doyle","IND","68.8","16","4.3"
"19","Evan Engram","NYG","65.4","8","8.2"
"20","Ryan Griffin","NYJ","64.0","13","4.9"
"21","Tyler Eifert","JAC","63.6","16","4.0"
"22","Jimmy Graham","CHI","62.7","16","3.9"
"23","Eric Ebron","PIT","55.5","11","5.1"
"24","Cameron Brate","TB","55.1","16","3.4"
"25","Blake Jarwin","DAL","54.5","16","3.4"
"26","Jordan Akins","HOU","53.8","16","3.4"
"27","Jacob Hollister","SEA","52.9","11","4.8"
"28","Gerald Everett","LAR","52.8","13","4.1"
"29","Dawson Knox","BUF","51.7","15","3.5"
"30","Will Dissly","SEA","50.9","6","8.5"
"31","O.J. Howard","TB","49.9","14","3.6"
"32","T.J. Hockenson","DET","48.7","12","4.1"
"33","Foster Moreau","LV","47.4","13","3.7"
"34","Hayden Hurst","ATL","46.9","16","2.9"
"35","Vance McDonald","PIT","45.5","14","3.3"
"36","Ricky Seals-Jones","KC","44.9","14","3.2"
"37","Kaden Smith","NYG","44.8","9","5.0"
"38","Nick Boyle","BAL","44.1","16","2.8"
"39","Irv Smith Jr.","MIN","43.1","16","2.7"
"40","Josh Hill","NO","40.6","16","2.5"
"41","C.J. Uzomah","CIN","36.2","16","2.3"
"42","Demetrius Harris","CHI","34.9","15","2.3"
"43","Delanie Walker","FA","33.5","7","4.8"
"44","Jeremy Sprinkle","WAS","30.1","16","1.9"
"45","Charles Clay","FA","29.7","15","2.0"
"46","James O'Shaughnessy","JAC","27.3","5","5.5"
"47","Anthony Firkser","TEN","26.4","15","1.8"
"48","Maxx Williams","ARI","26.2","16","1.6"
"49","Dan Arnold","ARI","24.7","6","4.1"
"50","Logan Thomas","WAS","23.3","16","1.5"
"51","Rhett Ellison","FA","22.7","10","2.3"
"52","Marcedes Lewis","GB","21.6","16","1.4"
"53","Ross Dwelley","SF","21.1","16","1.3"
"54","Jaeden Graham","ATL","20.9","16","1.3"
"55","Ian Thomas","CAR","19.6","16","1.2"
"56","Derek Carrier","LV","19.5","16","1.2"
"57","Matt LaCosse","NE","19.1","12","1.6"
"58","Vernon Davis","FA","18.3","4","4.6"
"59","Ryan Izzo","NE","17.4","6","2.9"
"60","Jeff Heuerman","FA","17.4","14","1.2"
"61","Benjamin Watson","FA","17.3","10","1.7"
"62","Nick O'Leary","FA","16.9","10","1.7"
"63","Nick Vannett","DEN","16.6","16","1.0"
"64","Hale Hentges","WAS","16.3","11","1.5"
"65","Robert Tonyan","GB","16.0","11","1.5"
"66","Andrew Beck","DEN","15.5","16","1.0"
"67","MyCole Pruitt","TEN","15.0","16","0.9"
"68","Joshua Perkins","PHI","14.7","5","2.9"
"69","Jesse James","DET","14.2","16","0.9"
"70","Seth DeValve","FA","14.0","12","1.2"
"71","Virgil Green","LAC","13.8","15","0.9"
"72","Daniel Brown","NYJ","13.2","16","0.8"
"73","Tyler Kroft","BUF","13.1","12","1.1"
"74","Jesper Horsted","CHI","12.7","6","2.1"
"75","Ben Braunecker","FA","11.9","11","1.1"
"76","Tommy Sweeney","BUF","11.4","6","1.9"
"77","Stephen Carlson","CLE","11.1","9","1.2"
"78","David Njoku","CLE","10.1","4","2.5"
"79","Troy Fumagalli","DEN","9.8","11","0.9"
"80","Mo Alie-Cox","IND","9.3","16","0.6"
"81","J.P. Holtz","CHI","9.1","15","0.6"
"81","Lee Smith","BUF","9.1","16","0.6"
"83","Trey Burton","IND","8.4","9","0.9"
"84","Luke Willson","SEA","7.9","9","0.9"
"85","Adam Shaheen","MIA","7.4","8","0.9"
"86","Cethan Carter","CIN","7.3","15","0.5"
"87","Blake Bell","DAL","6.7","15","0.5"
"88","Durham Smythe","MIA","6.5","16","0.4"
"88","Geoff Swaim","TEN","6.5","6","1.1"
"90","Clive Walford","FA","6.1","8","0.8"
"91","Tyler Conklin","MIN","5.8","16","0.4"
"92","Luke Stocker","ATL","5.3","15","0.4"
"93","Lance Kendricks","FA","5.0","12","0.4"
"93","Deon Yelder","KC","5.0","10","0.5"
"95","Trevon Wesco","NYJ","4.9","16","0.3"
"96","Ross Travis","NYJ","3.1","3","1.0"
"97","Codey McElroy","TB","3.0","1","3.0"
"98","Drew Sample","CIN","3.0","9","0.3"
"99","Pharaoh Brown","CLE","2.7","9","0.3"
"100","Johnny Mundt","LAR","2.6","14","0.2"
"101","Tanner Hudson","TB","2.6","9","0.3"
"102","Eric Saubert","CHI","2.1","2","1.1"
"103","Josh Oliver","JAC","1.5","4","0.4"
"104","Isaac Nauta","DET","1.3","6","0.2"
"105","Sean Culkin","FA","1.2","4","0.3"
"106","Chris Manhertz","CAR","1.1","15","0.1"
"106","Scott Simonson","FA","1.1","6","0.2"
"106","Antony Auclair","TB","1.1","8","0.1"
"109","Levine Toilolo","NYG","1.0","13","0.1"
"110","Ben Koyack","FA","0.9","12","0.1"
"111","Jordan Thomas","HOU","0.8","6","0.1"
"112","Chris Herndon IV","NYJ","0.7","2","0.4"
"113","Dalton Schultz","DAL","0.6","16","0.0"
"114","Tyrone Swoopes","FA","0.5","6","0.1"
"114","Charles Jones","FA","0.5","4","0.1"
"116","Darrell Daniels","ARI","0.4","11","0.0"
"116","Zach Gentry","PIT","0.4","4","0.1"
"118","Xavier Grimble","IND","0.3","3","0.1"
"119","Eric Tomlinson","NYG","0.1","8","0.0"
"120","Jace Sternberger","GB","0.0","6","0.0"
"120","Beau Brinkley","TEN","0.0","16","0.0"
"120","Jason Croom","BUF","0.0","1","0.0"
"120","Khari Lee","FA","0.0","1","0.0"
"120","Jason Vander Laan","NO","0.0","2","0.0"
"120","Kendall Blanton","LAR","0.0","1","0.0"
"120","Richard Rodgers","WAS","0.0","2","0.0"
"120","Jordan Reed","SF","0.0","1","0.0"
"120","Neal Sterling","FA","0.0","1","0.0"
"120","Carson Meier","FA","0.0","1","0.0"
"120","Stephen Anderson","LAC","0.0","1","0.0"
"120","Dion Sims","FA","0.0","1","0.0"
"120","David Grinnage","FA","0.0","1","0.0"
"120","Alex Ellis","NE","0.0","3","0.0"
"120","Jerome Cunningham","FA","0.0","3","0.0"
"120","Evan Baylis","GB","0.0","5","0.0"
"120","Erik Swoope","FA","0.0","1","0.0"
"120","Jermaine Gresham","FA","0.0","1","0.0"
"120","Garrett Dickerson","NYG","0.0","5","0.0"
"120","Cole Wick","NO","0.0","1","0.0"
"120","Rob Gronkowski","TB","0.0","1","0.0"
"120","Garrett Celek","FA","0.0","6","0.0"
"120","Kyle Nelson","SF","0.0","11","0.0"
"120","Alan Cross","FA","0.0","1","0.0"
"120","Antonio Gates","FA","0.0","1","0.0"
"120","David Morgan","FA","0.0","1","0.0"
"120","Jerell Adams","BAL","0.0","1","0.0"
"120","Matt Lengel","FA","0.0","2","0.0"
"120","Jordan Franks","CIN","0.0","1","0.0"
"120","Mason Schreck","CIN","0.0","3","0.0"
"120","Ed Dickson","FA","0.0","1","0.0"
"120","Jake Butt","DEN","0.0","1","0.0"
"120","Brian Parker","FA","0.0","1","0.0"
"120","Logan Paulsen","FA","0.0","1","0.0"
"120","Brandon Dillon","MIN","0.0","1","0.0"
""
""